iPhone 6S	32GB	Space Grey	4	2017-04-08	英国	0
iPhone 6S	32GB	Space Gray	2	2016-11-04	法国	0
iPhone 7	32GB	Matte Black	1	2018-05-16	英国	0
iPhone 7	128GB	Black	1	2017-05-28	德国	0
iPhone 7	128GB	Rose Gold	3	2016-12-04	英国	0
iPhone 7	128GB	Rose Gold	1	2017-05-06	德国	0
iPhone 7 Plus	32GB	Gold	3	2019-01-10	法国	0
iPhone 8 Plus	64GB	Space Gray	1	2018-06-26	法国	0
iPhone 7	128GB	Argent	1	2019-05-12	法国	0
iPhone 7	32GB	Gold	1	2017-04-19	英国	0
iPhone 6S	128GB	Rose Gold	2	2018-11-28	德国	0
iPhone XS	256GB	Argent 	1	2019-01-04	德国	0
iPhone 7	32GB	Black	1	2016-09-29	法国	0
iPhone 7	128GB	Gold	2	2017-06-08	德国	0
iPhone X	64GB	Gray	2	2018-02-16	it	0
iPhone X	64GB	Space Grey	3	2017-12-02	英国	0
iPhone 8	64GB	Space Gray	1	2018-02-13	法国	0
iPhone 8	64GB	Space Gray	2	2018-11-28	德国	0
iPhone 7	32GB	Black	1	2017-05-31	德国	0
iPhone 7 Plus	32GB	Black	1	2017-03-27	美国	0
iPhone XS	64GB	Space Gray	3	2019-03-21	美国	0
iPhone 7 Plus	128GB	Black	4	2018-04-14	英国	0
iPhone 6S	64GB	Gold	3	2017-01-22	德国	0
iPhone XS	64GB	Space Gray	1	2019-03-25	美国	0
iPhone 8	64GB	Gold	1	2019-03-13	法国	0
iPhone XS	64GB	Gold	1	2019-03-07	美国	0
iPhone 8	64GB	Space Gray	1	2018-07-19	法国	0
iPhone 7	32GB	Argent 	1	2018-09-15	德国	0
iPhone 6S	128GB	Space Gray	1	2019-07-07	法国	0
iPhone XR	64GB	White	4	2019-05-26	it	0
iPhone 8	64GB	Space Gray	1	2018-03-09	德国	0
iPhone 6S	64GB	Argent 	1	2019-03-14	德国	0
iPhone 6S	128GB	Space Grey	2	2018-06-23	英国	0
iPhone XS	256GB	Argent 	1	2019-01-19	德国	0
iPhone 8	64GB	Space Gray	1	2018-10-17	德国	0
iPhone XS Max	64GB	Space Grey	1	2019-06-22	英国	0
iPhone X	64GB	Argent	5	2018-04-03	法国	0
iPhone 7	128GB	Argent	5	2018-10-28	法国	0
iPhone XR	64GB	Black	2	2019-02-19	德国	0
iPhone XS Max	64GB	Silver	1	2019-04-17	美国	0
iPhone 6S	32GB	Argent	1	2015-10-18	德国	0
iPhone 7	128GB	Black	1	2018-04-17	德国	0
iPhone 6S	32GB	Space Gray	1	2018-07-22	德国	0
iPhone 7	32GB	Black	1	2018-11-07	法国	0
iPhone 8 Plus	64GB	Argent 	1	2018-06-28	it	0
iPhone XS	64GB	Gold	2	2019-03-31	美国	0
iPhone 7	32GB	Argent	1	2018-01-28	法国	0
iPhone X	64GB	Space Gray	4	2018-12-02	德国	0
iPhone XR	128GB	Red	1	2018-12-13	法国	0
iPhone XS Max	256GB	Space Grey	1	2019-07-15	英国	0
iPhone 7 Plus	32GB	Black	1	2018-12-21	美国	0
