phone_name,size,color,username,star,title,date,review
iPhone XS,256GB,Gris,christophe cavaliere,5,Parfait juste le top des iphone,2019-06-01,Passé du 8s au XS aucun regret téléphone beaucoup plus rapide appareil photo nickel.Transfert des données rapide en passant par le wi-fi.Téléphone européen reçu dans une boîte Apple scellé avec tout ses accessoires.Pour ceux qui hésitent n’écoutez Pas les avis négatifs car le produit et la vitesse de livraison sont irréprochables.
iPhone XS,64GB,Gris,Xx,4,Produit super/Livraison à revoir,2018-12-18,"J'ai bien reçu mon Iphone XS 64Go rien à redire le produit est niquel. Seul problème sur la livraison, j'ai retrouvé le colis dans ma boite au lettre, je trouve ça très léger au vu du prix du téléphone."
iPhone XS,64GB,Or,Fabi,5,Mon avis,2019-04-12,"J’ai beaucoup aimé ce téléphone, je utilise des iphone depuis 4 ans et c’est la premier fois que j’achète le dernièr modèle qui venait de sortir, je suis vraiment contente, la caméra est magnifique, la reconnaissance faciale marche très bien et la batterie est durable."
iPhone XS,64GB,Argent,Lili,4,R A S,2019-05-23,iPhone conforme à la description un petit temps d’adaptation pour l’utilisation avoir au fur et à mesure du temps  livraison respecté
iPhone XS,256GB,Gris,Mario Tortorici,5,Répond à mes attentes.,2019-06-09,"Produit conforme à mes attentes. La qualité de l’ecran est saisissante et me faire courir le risque de devenir addict.Le xs edt beaucoup plus rapide que le X, face ID plus intuitif également (sans pour autant atteindre la vélocité de l’ipad pro)Bref, de quoi tenir pas mal d’années avec."
iPhone XS,256GB,Or,Asiatrik69,5,Superbe !,2018-11-08,"Produit conforme aux attente, livré dans les temps. Vraiment rien à dire"
iPhone XS,256GB,Gris,Sophie,3,Nul la batterie,2018-12-22,Je trouve un téléphone facile d’utilisation pratique et Face ID bleufentLe seul bémol est la batterie elle se vite trop vite. Je trouve trop nul pour un téléphone à ce prix
iPhone XS,256GB,Gris,Florian,5,Super iphone,2019-02-14,J'avais le 8 plus avant et j'ai changé pour le XS qui a presque la meme taille d'écran mais avec une bien meilleur prise en main... ( Le 8 plus est vraiment grand pour le tenir a une main... )Je suis tres content de mon passage a l'iphone XS
iPhone XS,256GB,Argent,Filou,5,"Super, avec une super reduc.",2019-05-30,Produit conforme et bien neuf. J’ai hésité quand j’ai vu certain avis mais rien a dire Amazon est très bon.
iPhone XS,64GB,Argent,Destieu J.,4,Très bon smartphone,2019-03-21,"Cet iphone fait bien son travail, l'écran est beau, certes cher mais ca vaut le coup.La seule chose qui m'a décu c'est que le colis ait été remis sans signature"
